漢字番号,連番,漢字,1文字抽出,音訓,文字1,読み1,文字２,読み２,文字３,読み3,文字1,文字2,文字3,備考（文化庁の元データの備考）
105,189,貫,貫,カン,貫通,かんつう,縦貫,じゅうかん,尺貫法,しゃっかんほう,貫通(かんつう),縦貫(じゅうかん),尺貫法(しゃっかんほう),
105,190,貫,貫,つらぬく,貫く,つらぬく,,,,,貫く(つらぬく),,,
106,191,喚,喚,カン,喚問,かんもん,召喚,しょうかん,叫喚,きょうかん,喚問(かんもん),召喚(しょうかん),叫喚(きょうかん),
107,192,堪,堪,カン,堪忍,かんにん,,,,,堪忍(かんにん),,,
107,193,堪,堪,たえる,堪える,たえる,,,,,堪える(たえる),,,←→耐える
108,194,換,換,カン,換気,かんき,換算,かんさん,交換,こうかん,換気(かんき),換算(かんさん),交換(こうかん),
108,195,換,換,かえる,換える,かえる,,,,,換える(かえる),,,←→代える，替える，変える
108,196,換,換,かわる,換わる,かわる,,,,,換わる(かわる),,,←→代わる，替わる，変わる
109,197,敢,敢,カン,敢然,かんぜん,果敢,かかん,勇敢,ゆうかん,敢然(かんぜん),果敢(かかん),勇敢(ゆうかん),
110,198,棺,棺,カン,棺おけ,かんおけ,石棺,せきかん,出棺,しゅっかん,棺おけ(かんおけ),石棺(せきかん),出棺(しゅっかん),
111,199,款,款,カン,定款,ていかん,借款,しゃっかん,落款,らっかん,定款(ていかん),借款(しゃっかん),落款(らっかん),
112,200,閑,閑,カン,閑静,かんせい,閑却,かんきゃく,繁閑,はんかん,閑静(かんせい),閑却(かんきゃく),繁閑(はんかん),
113,201,勧(勸),勧,カン,勧誘,かんゆう,勧奨,かんしょう,勧告,かんこく,勧誘(かんゆう),勧奨(かんしょう),勧告(かんこく),
113,202,勧(勸),勧,すすめる,勧める,すすめる,,,,,勧める(すすめる),,,←→進める，薦める
114,203,寛(),寛,カン,寛大,かんだい,寛容,かんよう,寛厳,かんげん,寛大(かんだい),寛容(かんよう),寛厳(かんげん),
115,204,歓(歡),歓,カン,歓迎,かんげい,歓声,かんせい,交歓,こうかん,歓迎(かんげい),歓声(かんせい),交歓(こうかん),
116,205,監,監,カン,監視,かんし,監督,かんとく,総監,そうかん,監視(かんし),監督(かんとく),総監(そうかん),
117,206,緩,緩,カン,緩和,かんわ,緩慢,かんまん,緩急,かんきゅう,緩和(かんわ),緩慢(かんまん),緩急(かんきゅう),
117,207,緩,緩,ゆるい,緩い,ゆるい,,,,,緩い(ゆるい),,,
117,208,緩,緩,ゆるやか,緩やかだ,ゆるやかだ,,,,,緩やかだ(ゆるやかだ),,,
117,209,緩,緩,ゆるむ,緩む,ゆるむ,,,,,緩む(ゆるむ),,,
117,210,緩,緩,ゆるめる,緩める,ゆるめる,,,,,緩める(ゆるめる),,,
118,211,憾,憾,カン,遺憾,いかん,,,,,遺憾(いかん),,,
